vagrant@vagrant-ros:/workspace$ ros2 launch emotion_detection main.launch.py
[INFO] [launch]: All log files can be found below /home/vagrant/.ros/log/2023-05-19-03-53-11-841425-vagrant-ros-2527
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [face_detection-1]: process started with pid [2529]
[INFO] [emotion_detection-2]: process started with pid [2531]
[INFO] [action_client-3]: process started with pid [2533]
[action_client-3] [INFO] [1684468395.259278376] [action_client]: [*] Initializing action_client node...
[action_client-3] [INFO] [1684468395.698994484] [action_client]: [*] Initializing action_client node DONE!
[face_detection-1] [INFO] [1684468396.664260468] [face_recognition]: [*] Initializing face_recognition node...
[face_detection-1] [INFO] [1684468397.492061490] [face_recognition]: [*] Initializing face_recognition node DONE!
[face_detection-1] [INFO] [1684468397.792943745] [face_recognition]: Publishing video frame: 1
[face_detection-1] [INFO] [1684468397.916586116] [face_recognition]: Publishing video frame: 2
[face_detection-1] [INFO] [1684468398.050236910] [face_recognition]: Publishing video frame: 3
[face_detection-1] [INFO] [1684468398.288849411] [face_recognition]: Publishing video frame: 4
[face_detection-1] [INFO] [1684468398.383229898] [face_recognition]: Publishing video frame: 5
[face_detection-1] [INFO] [1684468398.552966019] [face_recognition]: Publishing video frame: 6
[face_detection-1] [INFO] [1684468398.785690726] [face_recognition]: Publishing video frame: 7
[face_detection-1] [INFO] [1684468398.884341560] [face_recognition]: Publishing video frame: 8
[face_detection-1] [INFO] [1684468398.965536141] [face_recognition]: Publishing video frame: 9
[face_detection-1] [INFO] [1684468399.084729860] [face_recognition]: Publishing video frame: 10
[face_detection-1] [INFO] [1684468399.277692711] [face_recognition]: Publishing video frame: 11
[face_detection-1] [INFO] [1684468399.351104043] [face_recognition]: Publishing video frame: 12
[face_detection-1] [INFO] [1684468399.474622445] [face_recognition]: Publishing video frame: 13
[face_detection-1] [INFO] [1684468399.645538423] [face_recognition]: Publishing video frame: 14
[face_detection-1] [INFO] [1684468399.733578905] [face_recognition]: Publishing video frame: 15
[face_detection-1] [INFO] [1684468399.869766350] [face_recognition]: Publishing video frame: 16
[face_detection-1] [INFO] [1684468399.965989137] [face_recognition]: Publishing video frame: 17
[face_detection-1] [INFO] [1684468400.155912934] [face_recognition]: Publishing video frame: 18
[face_detection-1] [INFO] [1684468400.386037610] [face_recognition]: Publishing video frame: 19
[face_detection-1] [INFO] [1684468400.640105575] [face_recognition]: Publishing video frame: 20
[face_detection-1] [INFO] [1684468400.930949212] [face_recognition]: Publishing video frame: 21
[face_detection-1] [INFO] [1684468401.054649221] [face_recognition]: Publishing video frame: 22
[face_detection-1] [INFO] [1684468401.307037639] [face_recognition]: Publishing video frame: 23
[face_detection-1] [INFO] [1684468401.591775932] [face_recognition]: Publishing video frame: 24
[face_detection-1] [INFO] [1684468401.897560151] [face_recognition]: Publishing video frame: 25
[face_detection-1] [INFO] [1684468402.070645379] [face_recognition]: Publishing video frame: 26
[face_detection-1] [INFO] [1684468402.221951149] [face_recognition]: Publishing video frame: 27
[face_detection-1] [INFO] [1684468402.380512257] [face_recognition]: Publishing video frame: 28
[face_detection-1] [INFO] [1684468402.505928799] [face_recognition]: Publishing video frame: 29
[face_detection-1] [INFO] [1684468402.651964732] [face_recognition]: Publishing video frame: 30
[face_detection-1] [INFO] [1684468402.845723760] [face_recognition]: Publishing video frame: 31
[face_detection-1] [INFO] [1684468402.980520270] [face_recognition]: Publishing video frame: 32
[face_detection-1] [INFO] [1684468403.190077533] [face_recognition]: Publishing video frame: 33
[face_detection-1] [INFO] [1684468403.447707848] [face_recognition]: Publishing video frame: 34
[face_detection-1] [INFO] [1684468403.664816845] [face_recognition]: Publishing video frame: 35
[face_detection-1] [INFO] [1684468403.842273147] [face_recognition]: Publishing video frame: 36
[face_detection-1] [INFO] [1684468403.986676502] [face_recognition]: Publishing video frame: 37
[face_detection-1] [INFO] [1684468404.125616760] [face_recognition]: Publishing video frame: 38
[face_detection-1] [INFO] [1684468404.288189527] [face_recognition]: Publishing video frame: 39
[face_detection-1] [INFO] [1684468404.471008956] [face_recognition]: Publishing video frame: 40
[face_detection-1] [INFO] [1684468404.796175071] [face_recognition]: Publishing video frame: 41
[face_detection-1] [INFO] [1684468405.037545227] [face_recognition]: Publishing video frame: 42
[face_detection-1] [INFO] [1684468405.272216163] [face_recognition]: Publishing video frame: 43
[face_detection-1] [INFO] [1684468405.532385253] [face_recognition]: Publishing video frame: 44
[face_detection-1] [INFO] [1684468405.712981628] [face_recognition]: Publishing video frame: 45
[face_detection-1] [INFO] [1684468405.953324455] [face_recognition]: Publishing video frame: 46
[face_detection-1] [INFO] [1684468406.108861784] [face_recognition]: Publishing video frame: 47
[face_detection-1] [INFO] [1684468406.284900481] [face_recognition]: Publishing video frame: 48
[face_detection-1] [INFO] [1684468406.415621380] [face_recognition]: Publishing video frame: 49
[face_detection-1] [INFO] [1684468406.545662206] [face_recognition]: Publishing video frame: 50
[face_detection-1] [INFO] [1684468406.656834384] [face_recognition]: Publishing video frame: 51
[face_detection-1] [INFO] [1684468406.870152123] [face_recognition]: Publishing video frame: 52
[face_detection-1] [INFO] [1684468406.974362905] [face_recognition]: Publishing video frame: 53
[face_detection-1] [INFO] [1684468407.082215773] [face_recognition]: Publishing video frame: 54
[face_detection-1] [INFO] [1684468407.328789603] [face_recognition]: Publishing video frame: 55
[face_detection-1] [INFO] [1684468407.529979264] [face_recognition]: Publishing video frame: 56
[face_detection-1] [INFO] [1684468407.776461723] [face_recognition]: Publishing video frame: 57
[face_detection-1] [INFO] [1684468407.948835909] [face_recognition]: Publishing video frame: 58
[face_detection-1] [INFO] [1684468408.120453626] [face_recognition]: Publishing video frame: 59
[face_detection-1] [INFO] [1684468408.308622975] [face_recognition]: Publishing video frame: 60
[face_detection-1] [INFO] [1684468408.565677577] [face_recognition]: Publishing video frame: 61
[face_detection-1] [INFO] [1684468408.758188784] [face_recognition]: Publishing video frame: 62
[face_detection-1] [INFO] [1684468408.989162131] [face_recognition]: Publishing video frame: 63
[face_detection-1] [INFO] [1684468409.145608401] [face_recognition]: Publishing video frame: 64
[face_detection-1] [INFO] [1684468409.453101486] [face_recognition]: Publishing video frame: 65
[face_detection-1] [INFO] [1684468409.633946115] [face_recognition]: Publishing video frame: 66
[face_detection-1] [INFO] [1684468409.822358333] [face_recognition]: Publishing video frame: 67
[face_detection-1] [INFO] [1684468409.986840222] [face_recognition]: Publishing video frame: 68
[face_detection-1] [INFO] [1684468410.182185869] [face_recognition]: Publishing video frame: 69
[face_detection-1] [INFO] [1684468410.312363475] [face_recognition]: Publishing video frame: 70
[face_detection-1] [INFO] [1684468410.438948948] [face_recognition]: Publishing video frame: 71
[face_detection-1] [INFO] [1684468410.594481098] [face_recognition]: Publishing video frame: 72
[face_detection-1] [INFO] [1684468410.795350537] [face_recognition]: Publishing video frame: 73
[face_detection-1] [INFO] [1684468411.116200384] [face_recognition]: Publishing video frame: 74
[face_detection-1] [INFO] [1684468411.231644014] [face_recognition]: Publishing video frame: 75
[face_detection-1] [INFO] [1684468411.371349288] [face_recognition]: Publishing video frame: 76
[face_detection-1] [INFO] [1684468411.479724144] [face_recognition]: Publishing video frame: 77
[face_detection-1] [INFO] [1684468411.659485573] [face_recognition]: Publishing video frame: 78
[face_detection-1] [INFO] [1684468411.834143592] [face_recognition]: Publishing video frame: 79
[face_detection-1] [INFO] [1684468411.971068382] [face_recognition]: Publishing video frame: 80
[face_detection-1] [INFO] [1684468412.127800960] [face_recognition]: Publishing video frame: 81
[face_detection-1] [INFO] [1684468412.319538841] [face_recognition]: Publishing video frame: 82
[face_detection-1] [INFO] [1684468412.512496753] [face_recognition]: Publishing video frame: 83
[face_detection-1] [INFO] [1684468412.656937679] [face_recognition]: Publishing video frame: 84
[face_detection-1] [INFO] [1684468412.832489528] [face_recognition]: Publishing video frame: 85
[face_detection-1] [INFO] [1684468412.982561088] [face_recognition]: Publishing video frame: 86
[face_detection-1] [INFO] [1684468413.105702326] [face_recognition]: Publishing video frame: 87
[face_detection-1] [INFO] [1684468413.270522885] [face_recognition]: Publishing video frame: 88
[face_detection-1] [INFO] [1684468413.418545959] [face_recognition]: Publishing video frame: 89
[face_detection-1] [INFO] [1684468413.525616641] [face_recognition]: Publishing video frame: 90
[face_detection-1] [INFO] [1684468413.662490089] [face_recognition]: Publishing video frame: 91
[face_detection-1] [INFO] [1684468413.795421225] [face_recognition]: Publishing video frame: 92
[face_detection-1] [INFO] [1684468413.944611406] [face_recognition]: Publishing video frame: 93
[face_detection-1] [INFO] [1684468414.083496028] [face_recognition]: Publishing video frame: 94
[face_detection-1] [INFO] [1684468414.267650917] [face_recognition]: Publishing video frame: 95
[face_detection-1] [INFO] [1684468414.402796903] [face_recognition]: Publishing video frame: 96
[face_detection-1] [INFO] [1684468414.575866917] [face_recognition]: Publishing video frame: 97
[face_detection-1] [INFO] [1684468414.731838098] [face_recognition]: Publishing video frame: 98
[face_detection-1] [INFO] [1684468414.929929902] [face_recognition]: Publishing video frame: 99
[face_detection-1] [INFO] [1684468415.087240405] [face_recognition]: Publishing video frame: 100
[face_detection-1] [INFO] [1684468415.260221756] [face_recognition]: Publishing video frame: 101
[face_detection-1] [INFO] [1684468415.431863571] [face_recognition]: Publishing video frame: 102
[face_detection-1] [INFO] [1684468415.583925066] [face_recognition]: Publishing video frame: 103
[face_detection-1] [INFO] [1684468415.693292973] [face_recognition]: Publishing video frame: 104
[face_detection-1] [INFO] [1684468415.851525591] [face_recognition]: Publishing video frame: 105
[face_detection-1] [INFO] [1684468415.965152734] [face_recognition]: Publishing video frame: 106
[face_detection-1] [INFO] [1684468416.081865640] [face_recognition]: Publishing video frame: 107
[face_detection-1] [INFO] [1684468416.232154785] [face_recognition]: Publishing video frame: 108
[face_detection-1] [INFO] [1684468416.380741917] [face_recognition]: Publishing video frame: 109
[face_detection-1] [INFO] [1684468416.525973152] [face_recognition]: Publishing video frame: 110
[face_detection-1] [INFO] [1684468416.665433610] [face_recognition]: Publishing video frame: 111
